GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AOT001,APP001,APP002,APP003,APP004,AP3001,AP3002,AP3003,AP3004,AP3005,AP3006,AP3007,AP3008,AP3009,AP3010,AP3011,AP3012,AP3013,AP3014,AP3015,AP3016,AP3017,AP3018,AP3019,AP3020,AP3021,AP3022,AP3023,AP3024,AP3025,AP3026,AP3027,AP3028,AP3029,AP3030,AP3031,AP3032,AP3033,AP3034,AP3035,AP3036,AP3037,AP3038,AP3039,AP3040,AP3041,AP3042,AP3043,AP3044,AP3045,AP3046,AP3047,AP3048,AP3049,AP3050,AP3051,AP3052,AP3053,AP3054,AP3055,AP3056,AP3057,AP3058,AP3059,AP3060,AP3061,AP3062,AP3063,AP3064,AP3065,AP3066,AP3067,AP3068,AP3069,AP3070,AP3071,AP3072,AP3073,AP3074,AP3075,AP3076,AP4001,AP4002
G3700010,1880,North Carolina,370,Alamance,10,Alamance,14613,9997,4613,0,3,1,,,,,,,9,,,,,,,,5,,,1,,,,,,,3,14451,,,17,,9,7,,,52,,,,,,,,,,,,,,,14451,,,,,1,,,,0,14,0,5,0,,9,,,,,,6,,0,0,,14576,37
G3700011,1880,North Carolina,370,Alexander,30,Alexander,8355,7458,897,0,0,0,,,,,,,13,,,,,,,,0,,,0,,,,,,,0,8281,,,0,,26,8,,,16,,,,,,,,,,,,,,,8281,,,,,0,,,,0,0,0,0,0,,1,,,,,,0,,1,0,,8350,5
G3700012,1880,North Carolina,370,Alleghany,50,Alleghany,5486,4967,519,0,0,1,,,,,,,2,,,,,,,,0,,,0,,,,,,,0,4945,,,0,,0,14,,,502,,,,,,,,,,,,,,,4945,,,,,0,,,,0,1,0,0,0,,1,,,,,,0,,0,0,,5484,2
G3700013,1880,North Carolina,370,Anson,70,Anson,17994,8790,9204,0,0,8,,,,,,,27,,,,,,,,2,,,11,,,,,,,1,17484,,,6,,331,15,,,67,,,,,,,,,,,,,,,17484,,,,,4,,,,0,6,0,4,0,,3,,,,,,6,,5,0,,17966,28
G3700014,1880,North Carolina,370,Ashe,90,Ashe,14437,13471,963,0,3,2,,,,,,,5,,,,,,,,5,,,1,,,,,,,15,13181,,,2,,15,258,,,835,,,,,,,,,,,,,,,13181,,,,,1,,,,0,20,0,0,0,,12,,,,,,0,,0,0,,14404,33
G3700015,1880,North Carolina,370,Beaufort,130,Beaufort,17474,10022,7452,0,0,4,,,,,,,4,,,,,,,,17,,,2,,,,,,,32,17213,,,24,,6,6,,,63,,,,,,,,,,,,,,,17213,,,,,0,,,,0,13,1,13,0,,0,,,,,,4,,1,1,,17432,42
G3700016,1880,North Carolina,370,Bertie,150,Bertie,16399,6815,9584,0,0,3,,,,,,,3,,,,,,,,7,,,5,,,,,,,1,16245,,,8,,4,3,,,95,,,,,,,,,,,,,,,16245,,,,,3,,,,0,0,1,0,0,,2,,,,,,0,,0,0,,16392,7
G3700017,1880,North Carolina,370,Bladen,170,Bladen,16158,7598,8560,0,0,1,,,,,,,6,,,,,,,,0,,,4,,,,,,,1,16046,,,9,,47,2,,,27,,,,,,,,,,,,,,,16046,,,,,1,,,,0,2,1,1,0,,2,,,,,,2,,0,0,,16149,9
G3700018,1880,North Carolina,370,Brunswick,190,Brunswick,9389,5337,4052,0,0,4,,,,,,,23,,,,,,,,13,,,1,,,,,,,5,8921,,,5,,293,2,,,35,,,,,,,,,,,,,,,8921,,,,,1,,,,3,3,2,14,0,,9,,,,,,3,,0,0,,9347,42
G3700019,1880,North Carolina,370,Buncombe,210,Buncombe,21909,18422,3476,0,11,22,,,,,,,116,,,,,,,,22,,,20,,,,,,,40,19794,,,43,,925,445,,,177,,,,,,,,,,,,,,,19794,,,,,8,,,,1,33,1,23,1,,27,,,,,,16,,0,10,,21781,128
G3700020,1880,North Carolina,370,Burke,230,Burke,12809,10088,2721,0,0,2,,,,,,,9,,,,,,,,4,,,4,,,,,,,3,12630,,,8,,53,20,,,31,,,,,,,,,,,,,,,12630,,,,,1,,,,1,0,0,5,0,,3,,,,,,2,,0,0,,12792,17
G3700021,1880,North Carolina,370,Cabarrus,250,Cabarrus,14964,9849,5115,0,0,12,,,,,,,17,,,,,,,,7,,,16,,,,,,,4,14662,,,11,,108,6,,,54,,,,,,,,,,,,,,,14662,,,,,4,,,,0,6,0,14,0,,4,,,,,,1,,0,0,,14933,31
G3700022,1880,North Carolina,370,Caldwell,270,Caldwell,10291,8691,1599,0,1,0,,,,,,,8,,,,,,,,1,,,4,,,,,,,6,10117,,,5,,27,48,,,30,,,,,,,,,,,,,,,10117,,,,,1,,,,0,2,0,1,0,,1,,,,,,0,,5,0,,10279,12
G3700023,1880,North Carolina,370,Camden,290,Camden,6274,3791,2471,0,12,1,,,,,,,6,,,,,,,,5,,,2,,,,,,,14,6082,,,2,,1,2,,,135,,,,,,,,,,,,,,,6082,,,,,1,,,,0,0,0,4,0,,4,,,,,,3,,0,0,,6260,14
G3700024,1880,North Carolina,370,Carteret,310,Carteret,9784,7107,2676,1,0,2,,,,,,,5,,,,,,,,9,,,0,,,,,,,4,9682,,,3,,11,2,,,19,,,,,,,,,,,,,,,9682,,,,,1,,,,0,10,0,3,2,,2,,,,,,6,,2,0,,9756,28
G3700025,1880,North Carolina,370,Caswell,330,Caswell,17825,7169,10656,0,0,9,,,,,,,10,,,,,,,,11,,,19,,,,,,,2,16398,,,4,,10,12,,,1321,,,,,,,,,,,,,,,16398,,,,,0,,,,0,1,0,2,0,,3,,,,,,0,,0,1,,17818,7
G3700026,1880,North Carolina,370,Catawba,350,Catawba,14946,12469,2477,0,0,16,,,,,,,13,,,,,,,,7,,,11,,,,,,,13,14617,,,8,,112,16,,,39,,,,,,,,,,,,,,,14617,,,,,4,,,,0,6,1,10,0,,7,,,,,,1,,1,2,,14905,41
G3700027,1880,North Carolina,370,Chatham,370,Chatham,23453,15500,7953,0,0,1,,,,,,,2,,,,,,,,6,,,3,,,,,,,3,23328,,,3,,2,2,,,35,,,,,,,,,,,,,,,23328,,,,,2,,,,0,6,9,1,0,,6,,,,,,13,,0,0,,23414,39
G3700028,1880,North Carolina,370,Cherokee,390,Cherokee,8182,7796,288,0,98,6,,,,,,,707,,,,,,,,1,,,1,,,,,,,6,6479,,,3,,136,788,,,13,,,,,,,,,,,,,,,6479,,,,,0,,,,0,3,0,1,0,,0,,,,,,1,,0,0,,8177,5
G3700029,1880,North Carolina,370,Chowan,410,Chowan,7900,3633,4267,0,0,2,,,,,,,4,,,,,,,,11,,,0,,,,,,,9,7736,,,10,,4,1,,,110,,,,,,,,,,,,,,,7736,,,,,0,,,,0,2,0,2,0,,0,,,,,,0,,0,0,,7894,6
G3700030,1880,North Carolina,370,Clay,430,Clay,3316,3175,141,0,0,5,,,,,,,538,,,,,,,,0,,,1,,,,,,,0,2571,,,1,,51,117,,,9,,,,,,,,,,,,,,,2571,,,,,0,,,,0,0,0,0,0,,0,,,,,,0,,0,0,,3316,0
G3700031,1880,North Carolina,370,Cleveland,450,Cleveland,16571,13700,2871,0,0,21,,,,,,,33,,,,,,,,1,,,2,,,,,,,5,15786,,,4,,633,21,,,32,,,,,,,,,,,,,,,15786,,,,,0,,,,1,1,2,1,0,,4,,,,,,0,,0,0,,16559,12
G3700032,1880,North Carolina,370,Columbus,470,Columbus,14439,8926,5513,0,0,8,,,,,,,18,,,,,,,,4,,,10,,,,,,,7,13719,,,3,,573,2,,,53,,,,,,,,,,,,,,,13719,,,,,0,,,,1,1,0,7,0,,6,,,,,,4,,0,0,,14418,21
G3700033,1880,North Carolina,370,Craven,490,Craven,19729,6664,13064,0,1,26,,,,,,,6,,,,,,,,13,,,2,,,,,,,59,19304,,,15,,18,3,,,65,,,,,,,,,,,,,,,19304,,,,,4,,,,0,20,2,29,0,,22,,,,,,5,,0,6,,19621,108
G3700034,1880,North Carolina,370,Cumberland,510,Cumberland,23836,12594,11241,0,1,4,,,,,,,5,,,,,,,,10,,,4,,,,,,,12,23514,,,17,,43,1,,,64,,,,,,,,,,,,,,,23514,,,,,0,,,,0,13,1,27,0,,18,,,,,,43,,0,1,,23717,119
G3700035,1880,North Carolina,370,Currituck,530,Currituck,6476,4495,1981,0,0,0,,,,,,,0,,,,,,,,6,,,3,,,,,,,16,6280,,,2,,2,0,,,150,,,,,,,,,,,,,,,6280,,,,,0,,,,0,4,0,0,0,,1,,,,,,1,,0,0,,6470,6
G3700036,1880,North Carolina,370,Dare,550,Dare,3243,2875,368,0,0,0,,,,,,,1,,,,,,,,0,,,0,,,,,,,1,3226,,,1,,1,0,,,8,,,,,,,,,,,,,,,3226,,,,,0,,,,0,1,0,0,0,,0,,,,,,0,,0,0,,3242,1
G3700037,1880,North Carolina,370,Davidson,570,Davidson,20333,16341,3992,0,0,5,,,,,,,6,,,,,,,,0,,,0,,,,,,,5,20094,,,36,,24,5,,,105,,,,,,,,,,,,,,,20094,,,,,0,,,,0,16,0,3,0,,3,,,,,,1,,0,2,,20308,25
