gisjoin,year,state,statea,county,countya,areaname
G3700010,1880,North Carolina,370,Alamance,10,Alamance
G3700011,1880,North Carolina,370,Alexander,30,Alexander
G3700012,1880,North Carolina,370,Alleghany,50,Alleghany
G3700013,1880,North Carolina,370,Anson,70,Anson
G3700014,1880,North Carolina,370,Ashe,90,Ashe
G3700015,1880,North Carolina,370,Beaufort,130,Beaufort
G3700016,1880,North Carolina,370,Bertie,150,Bertie
G3700017,1880,North Carolina,370,Bladen,170,Bladen
G3700018,1880,North Carolina,370,Brunswick,190,Brunswick
G3700019,1880,North Carolina,370,Buncombe,210,Buncombe
G3700020,1880,North Carolina,370,Burke,230,Burke
G3700021,1880,North Carolina,370,Cabarrus,250,Cabarrus
G3700022,1880,North Carolina,370,Caldwell,270,Caldwell
G3700023,1880,North Carolina,370,Camden,290,Camden
G3700024,1880,North Carolina,370,Carteret,310,Carteret
G3700025,1880,North Carolina,370,Caswell,330,Caswell
G3700026,1880,North Carolina,370,Catawba,350,Catawba
G3700027,1880,North Carolina,370,Chatham,370,Chatham
G3700028,1880,North Carolina,370,Cherokee,390,Cherokee
G3700029,1880,North Carolina,370,Chowan,410,Chowan
G3700030,1880,North Carolina,370,Clay,430,Clay
G3700031,1880,North Carolina,370,Cleveland,450,Cleveland
G3700032,1880,North Carolina,370,Columbus,470,Columbus
G3700033,1880,North Carolina,370,Craven,490,Craven
G3700034,1880,North Carolina,370,Cumberland,510,Cumberland
G3700035,1880,North Carolina,370,Currituck,530,Currituck
G3700036,1880,North Carolina,370,Dare,550,Dare
G3700037,1880,North Carolina,370,Davidson,570,Davidson
G3700038,1880,North Carolina,370,Davie,590,Davie
G3700039,1880,North Carolina,370,Duplin,610,Duplin
G3700040,1880,North Carolina,370,Edgecombe,650,Edgecombe
G3700041,1880,North Carolina,370,Forsyth,670,Forsyth
G3700042,1880,North Carolina,370,Franklin,690,Franklin
G3700043,1880,North Carolina,370,Gaston,710,Gaston
G3700044,1880,North Carolina,370,Gates,730,Gates
G3700045,1880,North Carolina,370,Graham,750,Graham
G3700046,1880,North Carolina,370,Granville,770,Granville
G3700047,1880,North Carolina,370,Greene,790,Greene
G3700048,1880,North Carolina,370,Guilford,810,Guilford
G3700049,1880,North Carolina,370,Halifax,830,Halifax
G3700050,1880,North Carolina,370,Harnett,850,Harnett
G3700051,1880,North Carolina,370,Haywood,870,Haywood
G3700052,1880,North Carolina,370,Henderson,890,Henderson
G3700053,1880,North Carolina,370,Hertford,910,Hertford
G3700054,1880,North Carolina,370,Hyde,950,Hyde
G3700055,1880,North Carolina,370,Iredell,970,Iredell
G3700056,1880,North Carolina,370,Jackson,990,Jackson
G3700057,1880,North Carolina,370,Johnston,1010,Johnston
G3700058,1880,North Carolina,370,Jones,1030,Jones
G3700059,1880,North Carolina,370,Lenoir,1070,Lenoir
G3700060,1880,North Carolina,370,Lincoln,1090,Lincoln
G3700061,1880,North Carolina,370,McDowell,1110,Mcdowell
G3700062,1880,North Carolina,370,Macon,1130,Macon
G3700063,1880,North Carolina,370,Madison,1150,Madison
G3700064,1880,North Carolina,370,Martin,1170,Martin
G3700065,1880,North Carolina,370,Mecklenburg,1190,Mecklenburg
G3700066,1880,North Carolina,370,Mitchell,1210,Mitchell
G3700067,1880,North Carolina,370,Montgomery,1230,Montgomery
G3700068,1880,North Carolina,370,Moore,1250,Moore
G3700069,1880,North Carolina,370,Nash,1270,Nash
G3700070,1880,North Carolina,370,New Hanover,1290,New Hanover
G3700071,1880,North Carolina,370,Northampton,1310,Northampton
G3700072,1880,North Carolina,370,Onslow,1330,Onslow
G3700073,1880,North Carolina,370,Orange,1350,Orange
G3700074,1880,North Carolina,370,Pamlico,1370,Pamlico
G3700075,1880,North Carolina,370,Pasquotank,1390,Pasquotank
G3700076,1880,North Carolina,370,Pender,1410,Pender
G3700077,1880,North Carolina,370,Perquimans,1430,Perquimans
G3700078,1880,North Carolina,370,Person,1450,Person
G3700079,1880,North Carolina,370,Pitt,1470,Pitt
G3700080,1880,North Carolina,370,Polk,1490,Polk
G3700081,1880,North Carolina,370,Randolph,1510,Randolph
G3700082,1880,North Carolina,370,Richmond,1530,Richmond
G3700083,1880,North Carolina,370,Robeson,1550,Robeson
G3700084,1880,North Carolina,370,Rockingham,1570,Rockingham
G3700085,1880,North Carolina,370,Rowan,1590,Rowan
G3700086,1880,North Carolina,370,Rutherford,1610,Rutherford
G3700087,1880,North Carolina,370,Sampson,1630,Sampson
G3700088,1880,North Carolina,370,Stanly,1670,Stanly
G3700089,1880,North Carolina,370,Stokes,1690,Stokes
G3700090,1880,North Carolina,370,Surry,1710,Surry
G3700091,1880,North Carolina,370,Swain,1730,Swain
G3700092,1880,North Carolina,370,Transylvania,1750,Transylvania
G3700093,1880,North Carolina,370,Tyrrell,1770,Tyrrell
G3700094,1880,North Carolina,370,Union,1790,Union
G3700095,1880,North Carolina,370,Wake,1830,Wake
G3700096,1880,North Carolina,370,Warren,1850,Warren
G3700097,1880,North Carolina,370,Washington,1870,Washington
G3700098,1880,North Carolina,370,Watauga,1890,Watauga
G3700099,1880,North Carolina,370,Wayne,1910,Wayne
G3700100,1880,North Carolina,370,Wilkes,1930,Wilkes
G3700101,1880,North Carolina,370,Wilson,1950,Wilson
G3700102,1880,North Carolina,370,Yadkin,1970,Yadkin
G3701990,1880,North Carolina,370,Yancey,1990,Yancey
