gisjoin,year,state_name,statea,areaname,totblkpop,ncnatives,ncperblkpop,ncmigper,statenativeper,othernativeper
G010,1880,Alabama,10,Alabama,600107,12372,0.020616323,0.02,0.846042456,0.133341221
G045,1880,Arizona Territory,45,Arizona Territory,3582,2,0.000558347,0,0.962311558,0.037130095
G050,1880,Arkansas,50,Arkansas,210819,5897,0.027971862,0.01,0.587888188,0.384139949
G060,1880,California,60,California,22291,92,0.004127226,0,0.872414876,0.123457898
G080,1880,Colorado,80,Colorado,2559,43,0.016803439,0,0.234075811,0.74912075
G090,1880,Connecticut,90,Connecticut,11648,371,0.031850962,0.001,0.611607143,0.356541896
G095,1880,Dakota Territory,95,Dakota Territory,1612,2,0.001240695,0,0.730148883,0.268610422
G100,1880,Delaware,100,Delaware,26420,15,0.000567752,0,0.858667676,0.140764572
G110,1880,District Of Columbia,110,District of Columbia,59476,459,0.007717399,0.001,0.416554577,0.575728025
G120,1880,Florida,120,Florida,124682,3505,0.028111516,0.006,0.712235928,0.259652556
G130,1880,Georgia,130,Georgia,725043,7063,0.009741491,0.012,0.93503144,0.055227069
G165,1880,Idaho Territory,165,Idaho Territory,222,2,0.009009009,0,0.675675676,0.315315315
G170,1880,Illinois,170,Illinois,46123,638,0.013832578,0.001,0.41116146,0.575005962
G180,1880,Indiana,180,Indiana,39359,3167,0.080464443,0.005,0.424629691,0.494905867
G190,1880,Iowa,190,Iowa,9919,128,0.012904527,0,0.369392076,0.617703398
G200,1880,Kansas,200,Kansas,43799,842,0.019224183,0.001,0.249343592,0.731432224
G210,1880,Kentucky,210,Kentucky,271448,792,0.002917686,0.001,0.930631281,0.066451033
G220,1880,Louisiana,220,Louisianna,483623,4790,0.009904409,0.008,0.798861923,0.191233668
G230,1880,Maine,230,Maine,1860,20,0.010752688,0,0.830107527,0.159139785
G240,1880,Maryland,240,Maryland,209972,472,0.002247919,0.001,0.93678681,0.060965272
G250,1880,Massachusetts,250,Massachusetts,17750,607,0.034197183,0.001,0.549295775,0.416507042
G260,1880,Michigan,260,Michigan,20302,427,0.021032411,0.001,0.682740617,0.296226973
G270,1880,Minnesota,270,Minnesota,3724,47,0.012620838,0,0.682330827,0.305048335
G280,1880,Mississippi,280,Mississippi,651985,13296,0.020393107,0.022,0.782131491,0.197475402
G290,1880,Missouri,290,Missouri,145335,962,0.00661919,0.002,0.769910896,0.223469914
G305,1880,Montana Territory,305,Montana Territory,1740,1,0.000574713,0,0.789655172,0.209770115
G310,1880,Nebraska,310,Nebraska,2575,46,0.017864078,0,0.20776699,0.774368932
G320,1880,Nevada,320,Nevada,3263,9,0.002758198,0,0.917560527,0.079681275
G330,1880,New Hampshire,330,New Hampshire,702,12,0.017094017,0,0.598290598,0.384615385
G340,1880,New Jersey,340,New Jersey,38719,292,0.007541517,0,0.714610398,0.277848085
G355,1880,New Mexico Territory,355,New Mexico Territory,10741,14,0.001303417,0,0.881761475,0.116935108
G360,1880,New York,360,New York,64175,1237,0.019275419,0.002,0.695582392,0.285142189
G370,1880,North Carolina,370,North Carolina,532458,515912,0.968925249,0.847,0.968925249,0.031074751
G390,1880,Ohio,390,Ohio,79537,2485,0.031243321,0.004,0.558017024,0.410739656
G410,1880,Oregon,410,Oregon,2122,0,0,0,0.890197926,0.109802074
G420,1880,Pennsylvania,420,Pennsylvania,85109,588,0.006908788,0.001,0.649531777,0.343559436
G440,1880,Rhode Island,440,Rhode Island,6430,126,0.019595645,0,0.498133748,0.482270607
G450,1880,South Carolina,450,South Carolina,604240,6882,0.011389514,0.011,0.974478684,0.014131802
G470,1880,Tennessee,470,Tennessee,403421,9383,0.023258581,0.015,0.838907742,0.137833677
G480,1880,Texas,480,Texas,393477,6800,0.017281823,0.011,0.710445591,0.272272585
G495,1880,Utah Territory,495,Utah Territory,1011,3,0.002967359,0,0.859545005,0.137487636
G500,1880,Vermont,500,Vermont,1046,8,0.007648184,0,0.070745698,0.921606119
G510,1880,Virginia,510,Virginia,631621,9349,0.014801598,0.015,0.97942912,0.005769283
G535,1880,Washington Territory,535,Washington Territory,4417,2,0.000452796,0,0.947022866,0.052524338
G540,1880,West Virginia,540,West Virginia,25883,108,0.004172623,0,0.600664529,0.395162848
G550,1880,Wisconsin,550,Wisconsin,5772,29,0.005024255,0,0.821032571,0.173943174
G565,1880,Wyoming Territory,565,Wyoming Territory,430,5,0.011627907,0,0.458139535,0.530232558
