gisjoin,year,state_name,statea,areaname,totblkpop,ncnatives,ncperblkpop,ncmigper
G010,1870,Alabama,10,Alabama,475214,16034,0.033740588,0.0342415
G045,1870,Arizona Territory,45,Arizona Territory,24,2,0.083333333,0.0000043
G050,1870,Arkansas,50,Arkansas,122126,5228,0.042808247,0.0111647
G060,1870,California,60,California,3835,95,0.024771838,0.0002029
G085,1870,Colorado Territory,85,Colorado Territory,450,12,0.026666667,0.0000256
G090,1870,Connecticut,90,Connecticut,9565,295,0.03084161,0.00063
G095,1870,Dakota Territory,95,Dakota Territory,92,5,0.054347826,0.0000107
G100,1870,Delaware,100,Delaware,22778,20,0.00087804,0.0000427
G110,1870,District Of Columbia,110,District of Columbia,43325,275,0.006347374,0.0005873
G120,1870,Florida,120,Florida,91384,3809,0.041681257,0.0081343
G130,1870,Georgia,130,Georgia,544770,7063,0.012965105,0.0150834
G165,1870,Idaho Territory,165,Idaho Territory,47,1,0.021276596,0.0000021
G170,1870,Illinois,170,Illinois,28549,594,0.020806333,0.0012685
G180,1870,Indiana,180,Indiana,24517,1354,0.055226985,0.0028915
G190,1870,Iowa,190,Iowa,5737,107,0.018650863,0.0002285
G200,1870,Kansas,200,Kansas,17066,420,0.024610336,0.0008969
G210,1870,Kentucky,210,Kentucky,222161,960,0.00432119,0.0020501
G220,1870,Louisiana,220,Louisianna,363067,5237,0.014424335,0.0111839
G230,1870,Maine,230,Maine,1446,34,0.02351314,0.0000726
G240,1870,Maryland,240,Maryland,175240,297,0.001694819,0.0006343
G250,1870,Massachusetts,250,Massachusetts,13055,465,0.035618537,0.000993
G260,1870,Michigan,260,Michigan,10688,417,0.039015719,0.0008905
G270,1870,Minnesota,270,Minnesota,751,33,0.043941411,0.0000705
G280,1870,Mississippi,280,Mississippi,444007,14511,0.032681917,0.0309891
G290,1870,Missouri,290,Missouri,117995,1111,0.009415653,0.0023726
G305,1870,Montana Territory,305,Montana Territory,175,2,0.011428571,0.0000043
G310,1870,Nebraska,310,Nebraska,782,18,0.023017903,0.0000384
G320,1870,Nevada,320,Nevada,328,10,0.030487805,0.0000214
G330,1870,New Hampshire,330,New Hampshire,562,13,0.023131673,0.0000278
G340,1870,New Jersey,340,New Jersey,30548,180,0.005892366,0.0003844
G355,1870,New Mexico Territory,355,New Mexico Territory,167,4,0.023952096,0.0000085
G360,1870,New York,360,New York,50834,663,0.013042452,0.0014159
G370,1870,North Carolina,370,North Carolina,391601,379231,0.968411725,0.8098693
G390,1870,Ohio,390,Ohio,62887,2820,0.044842336,0.0060223
G410,1870,Oregon,410,Oregon,301,8,0.026578073,0.0000171
G420,1870,Pennsylvania,420,Pennsylvania,64859,410,0.006321405,0.0008756
G440,1870,Rhode Island,440,Rhode Island,4876,65,0.013330599,0.0001388
G450,1870,South Carolina,450,South Carolina,415514,2597,0.00625009,0.005546
G470,1870,Tennessee,470,Tennessee,322204,9897,0.030716565,0.0211356
G480,1870,Texas,480,Texas,252634,7421,0.02937451,0.015848
G495,1870,Utah Territory,495,Utah Territory,113,5,0.044247788,0.0000107
G500,1870,Vermont,500,Vermont,900,12,0.013333333,0.0000256
G510,1870,Virginia,510,Virginia,512792,6373,0.012428041,0.0136099
G535,1870,Washington Territory,535,Washington Territory,179,0,0,0
G540,1870,West Virginia,540,West Virginia,17971,90,0.005008069,0.0001922
G550,1870,Wisconsin,550,Wisconsin,2068,62,0.029980658,0.0001324
G565,1870,Wyoming Territory,565,Wyoming Territory,180,2,0.011111111,0.0000043
