gisjoin,year,state_name,statea,areaname,totblkpop,statenativeper,ncnatives,ncperblkpop,msnatives,msperblkpop
G010,1870,Alabama,10,Alabama,475214,0.787893454,16034,0.033740588,4431,0.00932422
G045,1870,Arizona Territory,45,Arizona Territory,24,0.041666667,2,0.083333333,0,0
G050,1870,Arkansas,50,Arkansas,122126,0.51146357,5228,0.042808247,7028,0.057547123
G060,1870,California,60,California,3835,0.280052151,95,0.024771838,73,0.019035202
G085,1870,Colorado Territory,85,Colorado Territory,450,0.1,12,0.026666667,9,0.02
G090,1870,Connecticut,90,Connecticut,9565,0.636800836,295,0.03084161,8,0.000836383
G095,1870,Dakota Territory,95,Dakota Territory,92,0.173913043,5,0.054347826,0,0
G100,1870,Delaware,100,Delaware,22778,0.887435245,20,0.00087804,1,4.39E-05
G110,1870,District Of Columbia,110,District of Columbia,43325,0.310398153,275,0.006347374,27,0.000623197
G120,1870,Florida,120,Florida,91384,0.623281975,3809,0.041681257,260,0.002845137
G130,1870,Georgia,130,Georgia,544770,0.907472878,7063,0.012965105,801,0.001470345
G165,1870,Idaho Territory,165,Idaho Territory,47,0.042553191,1,0.021276596,0,0
G170,1870,Illinois,170,Illinois,28549,0.293775614,594,0.020806333,929,0.032540544
G180,1870,Indiana,180,Indiana,24517,0.40017131,1354,0.055226985,189,0.007708937
G190,1870,Iowa,190,Iowa,5737,0.24106676,107,0.018650863,189,0.032944047
G200,1870,Kansas,200,Kansas,17066,0.22248916,420,0.024610336,132,0.007734677
G210,1870,Kentucky,210,Kentucky,222161,0.925378442,960,0.00432119,408,0.001836506
G220,1870,Louisiana,220,Louisianna,363067,0.727017327,5237,0.014424335,17831,0.049112147
G230,1870,Maine,230,Maine,1446,0.657676349,34,0.02351314,2,0.001383126
G240,1870,Maryland,240,Maryland,175240,0.955375485,297,0.001694819,42,0.000239671
G250,1870,Massachusetts,250,Massachusetts,13055,0.52232861,465,0.035618537,16,0.001225584
G260,1870,Michigan,260,Michigan,10688,0.361152695,417,0.039015719,52,0.004865269
G270,1870,Minnesota,270,Minnesota,751,0.153129161,33,0.043941411,45,0.059920107
G280,1870,Mississippi,280,Mississippi,444007,0.719267939,14511,0.032681917,319360,0.719267939
G290,1870,Missouri,290,Missouri,117995,0.72461545,1111,0.009415653,1375,0.011653036
G305,1870,Montana Territory,305,Montana Territory,175,0.085714286,2,0.011428571,0,0
G310,1870,Nebraska,310,Nebraska,782,0.067774936,18,0.023017903,17,0.02173913
G320,1870,Nevada,320,Nevada,328,0.094512195,10,0.030487805,1,0.00304878
G330,1870,New Hampshire,330,New Hampshire,562,0.585409253,13,0.023131673,1,0.001779359
G340,1870,New Jersey,340,New Jersey,30548,0.734679848,180,0.005892366,9,0.000294618
G355,1870,New Mexico Territory,355,New Mexico Territory,167,0.341317365,4,0.023952096,2,0.011976048
G360,1870,New York,360,New York,50834,0.757445804,663,0.013042452,45,0.000885234
G370,1870,North Carolina,370,North Carolina,391601,0.968411725,379231,0.968411725,187,0.000477527
G390,1870,Ohio,390,Ohio,62887,0.464197688,2820,0.044842336,516,0.008205193
G410,1870,Oregon,410,Oregon,301,0.282392027,8,0.026578073,2,0.006644518
G420,1870,Pennsylvania,420,Pennsylvania,64859,0.643549854,410,0.006321405,54,0.000832575
G440,1870,Rhode Island,440,Rhode Island,4876,0.516817063,65,0.013330599,6,0.001230517
G450,1870,South Carolina,450,South Carolina,415514,0.982602271,2597,0.00625009,123,0.000296019
G470,1870,Tennessee,470,Tennessee,322204,0.808897469,9897,0.030716565,8566,0.026585641
G480,1870,Texas,480,Texas,252634,0.531622822,7421,0.02937451,13895,0.055000515
G495,1870,Utah Territory,495,Utah Territory,113,0.345132743,5,0.044247788,7,0.061946903
G500,1870,Vermont,500,Vermont,900,0.6,12,0.013333333,3,0.003333333
G510,1870,Virginia,510,Virginia,512792,0.981622178,6373,0.012428041,86,0.000167709
G535,1870,Washington Territory,535,Washington Territory,179,0.569832402,0,0,0,0
G540,1870,West Virginia,540,West Virginia,17971,0.957653998,90,0.005008069,8,0.000445162
G550,1870,Wisconsin,550,Wisconsin,2068,0.295454545,62,0.029980658,55,0.026595745
G565,1870,Wyoming Territory,565,Wyoming Territory,180,0.011111111,2,0.011111111,2,0.011111111
