county,census_yr,free,enslaved,totalblkpop,name
Alamance,1870,3640,0,3640,ALAMANCE
Alexander,1870,834,0,834,ALEXANDER
Alleghany,1870,290,0,290,ALLEGHANY
Anson,1870,6078,0,6078,ANSON
Ashe,1870,582,0,582,ASHE
Beaufort,1870,4632,0,4632,BEAUFORT
Bertie,1870,7437,0,7437,BERTIE
Bladen,1870,6102,0,6102,BLADEN
Brunswick,1870,3306,0,3306,BRUNSWICK
Buncombe,1870,2303,0,2303,BUNCOMBE
Burke,1870,2314,0,2314,BURKE
Cabarrus,1870,3939,0,3939,CABARRUS
Caldwell,1870,1380,0,1380,CALDWELL
Camden,1870,2121,0,2121,CAMDEN
Carteret,1870,2725,0,2725,CARTERET
Caswell,1870,9494,0,9494,CASWELL
Catawba,1870,1703,0,1703,CATAWBA
Chatham,1870,830,0,830,CHATHAM
Cherokee,1870,301,0,301,CHEROKEE
Chowan,1870,3369,0,3369,CHOWAN
Clay,1870,142,0,142,CLAY
Cleveland,1870,2063,0,2063,CLEVELAND
Columbus,1870,2948,0,2948,COLUMBUS
Craven,1870,12116,0,12116,CRAVEN
Cumberland,1870,7515,0,7515,CUMBERLAND
Currituck,1870,1140,0,1140,CURRITUCK
Dare,1870,377,0,377,DARE
Davidson,1870,3546,0,3546,DAVIDSON
Davie,1870,3093,0,3093,DAVIE
Duplin,1870,6766,0,6766,DUPLIN
Edgecombe,1870,15112,0,15112,EDGECOMBE
Forsyth,1870,2334,0,2334,FORSYTH
Franklin,1870,7501,0,7501,FRANKLIN
Gaston,1870,4172,0,4172,GASTON
Gates,1870,3207,0,3207,GATES
Granville,1870,13355,0,13355,GRANVILLE
Greene,1870,4521,0,4521,GREENE
Guilford,1870,6080,0,6080,GUILFORD
Halifax,1870,13990,0,13990,HALIFAX
Harnett,1870,3038,0,3038,HARNETT
Haywood,1870,515,0,515,HAYWOOD
Henderson,1870,1208,0,1208,HENDERSON
Hertford,1870,4952,0,4952,HERTFORD
Hyde,1870,2378,0,2378,HYDE
Iredell,1870,4643,0,4643,IREDELL
Jackson,1870,274,0,274,JACKSON
Johnston,1870,5194,0,5194,JOHNSTON
Jones,1870,2656,0,2656,JONES
Lenoir,1870,5532,0,5532,LENOIR
Lincoln,1870,2759,0,2759,LINCOLN
Macon,1870,403,0,403,MACON
Madison,1870,334,0,334,MADISON
Martin,1870,4583,0,4583,MARTIN
McDowell,1870,1772,0,1772,MCDOWELL
Mecklenburg,1870,10721,0,10721,MECKLENBURG
Mitchell,1870,213,0,213,MITCHELL
Montgomery ,1870,2128,0,2128,MONTGOMERY 
Moore,1870,3019,0,3019,MOORE
Nash,1870,4721,0,4721,NASH
New Hanover,1870,16199,0,16199,NEW HANOVER
Northampton,1870,8510,0,8510,NORTHAMPTON
Onslow,1870,2396,0,2396,ONSLOW
Orange,1870,6420,0,6420,ORANGE
Pasquontank,1870,3951,0,3951,PASQUONTANK
Perquimans,1870,3998,0,3998,PERQUIMANS
Person,1870,5104,0,5104,PERSON
Pitt,1870,8404,0,8404,PITT
Polk,1870,978,0,978,POLK
Randolph,1870,2606,0,2606,RANDOLPH
Richmond,1870,6508,0,6508,RICHMOND
Robeson,1870,7370,0,7370,ROBESON
Rockingham,1870,6215,0,6215,ROCKINGHAM
Rowan,1870,5307,0,5307,ROWAN
Rutherford,1870,2642,0,2642,RUTHERFORD
Sampson,1870,6483,0,6483,SAMPSON
Stanly,1870,1289,0,1289,STANLY
Stokes,1870,2608,0,2608,STOKES
Surry,1870,1560,0,1560,SURRY
Transylvania,1870,309,0,309,TRANSYLVANIA
Tyrrell,1870,1302,0,1302,TYRRELL
Union,1870,2694,0,2694,UNION
Wake,1870,16184,0,16184,WAKE
Warren,1870,12492,0,12492,WARREN
Washington,1870,2777,0,2777,WASHINGTON
Watauga,1870,226,0,226,WATAUGA
Wayne,1870,8140,0,8140,WAYNE
Wilkes,1870,1662,0,1662,WILKES
Wilson,1870,5073,0,5073,WILSON
Yadkin,1870,1444,0,1444,YADKIN
Yancey,1870,308,0,308,YANCEY
