GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AOT001,APP001,APP002,APP003,APP004,AP3001,AP3002,AP3003,AP3004,AP3005,AP3006,AP3007,AP3008,AP3009,AP3010,AP3011,AP3012,AP3013,AP3014,AP3015,AP3016,AP3017,AP3018,AP3019,AP3020,AP3021,AP3022,AP3023,AP3024,AP3025,AP3026,AP3027,AP3028,AP3029,AP3030,AP3031,AP3032,AP3033,AP3034,AP3035,AP3036,AP3037,AP3038,AP3039,AP3040,AP3041,AP3042,AP3043,AP3044,AP3045,AP3046,AP3047,AP3048,AP3049,AP3050,AP3051,AP3052,AP3053,AP3054,AP3055,AP3056,AP3057,AP3058,AP3059,AP3060,AP3061,AP3062,AP3063,AP3064,AP3065,AP3066,AP3067,AP3068,AP3069,AP3070,AP3071,AP3072,AP3073,AP3074,AP3075,AP3076,AP4001,AP4002
"G010","1880","Alabama","010",,"Alabama",1262505,662185,600103,4,213,1014633,863,21,17,266,42,4209,95782,686,785,92,31,2624,1785,171,1889,368,186,13046,43,572,26,0,97,227,1668,23269,1477,1,1199,67,35764,23859,1254,128,24279,72,988,1,4,5,247,2,13,1,5,0,4,2,1,1014633,149,5,121,39,271,1,11,55,69,1004,442,3238,11,27,2966,114,26,47,13,44,426,89,143,173,39,1252771,9734
"G025","1880","Alaska Territory","025",,"Alaska Territory",33426,430,0,0,32996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G045","1880","Arizona Territory","045",,"Arizona Territory",40440,35160,155,1632,3493,130,322,2162,65,130,19,22,169,682,373,320,160,446,123,441,217,564,231,100,32,914,18,112,134,156,1735,90,954,178,812,64,55,308,522,232,349,18,185,1,8166,3,61,80,8,8,1144,1338,24,12,2,8166,3,2,53,7,571,1,1626,2,131,765,276,1110,1,14,1296,104,9330,43,15,25,250,18,151,117,12,24391,16049
"G050","1880","Arkansas","050",,"Arkansas",802525,591531,210666,133,195,39013,436677,168,66,143,64,445,36715,12238,8528,1527,1675,18039,9649,339,1329,374,887,35248,144,29508,107,10,99,270,2290,19727,5254,16,2673,75,15107,87593,10860,189,13292,126,678,0,3,15,155,5,791,8,9,31,9,6,1,436677,17,1,106,68,787,2,121,13,98,1275,369,3620,1,66,2432,132,20,191,2,77,229,6,244,240,8,792175,10350
"G060","1880","California","060",,"California",864694,767181,6018,75218,16277,1381,2478,326000,330,3904,473,163,1234,17254,8164,9160,1993,7851,2412,14497,3152,19145,5451,1440,1546,20749,725,2603,3469,3760,43749,1749,17759,3358,15374,1812,969,5609,1981,4681,5906,337,5488,33,369,56,668,211,94,166,297,1131,538,111,40,326000,86,3356,1948,239,18889,188,73548,182,3748,26577,9550,42532,55,694,62962,7537,8648,1026,4705,1013,6465,572,5974,5308,528,571820,292874
"G080","1880","Colorado","080",,"Colorado",194327,191126,2435,612,154,452,760,555,26363,1226,232,66,918,12993,5231,7520,4011,3786,416,2619,1047,3638,3654,527,816,12435,932,102,737,1479,15593,846,11759,81,11387,368,203,1961,1043,1568,2441,417,3910,2,13,93,159,24,99,53,9501,241,21,234,5,26363,13,5,453,91,5785,1,601,12,507,10009,825,7012,2,115,8263,335,186,154,12,278,1673,35,2526,551,30,154537,39790
"G090","1880","Connecticut","090",,"Connecticut",622700,610769,11547,129,255,131,10,216,8,398211,190,104,359,813,227,224,76,155,188,2431,834,22643,426,52,140,164,20,2,2047,4067,39172,544,1272,14,3223,8325,299,87,65,3476,1722,35,365,0,4,7,288,2,4,2,10,36,5,1,12,398211,14,79,287,124,16444,11,134,35,428,15860,1079,15627,28,122,70638,879,10,225,165,65,4157,47,2254,680,161,492708,129992
"G095","1880","Dakota Territory","095",,"Dakota Territory",135177,133147,401,238,1391,53,60,101,201,527,61,11,70,4528,1669,7823,241,519,90,1494,327,1292,2509,93,8766,1520,633,24,559,402,9135,101,3806,49,4305,159,62,216,108,1315,575,69,11685,0,5,17796,72,25,19,84,35,104,6,74,4,17796,4,53,131,1337,10678,2,237,40,1447,2516,272,5925,0,140,4104,71,17,219,4,6493,940,26,16422,386,14,83382,51795
"G100","1880","Delaware","100",,"Delaware",146608,120160,26442,1,5,7,5,22,1,217,110643,15,37,79,55,20,6,45,20,131,9562,264,38,7,15,83,2,9,71,2238,1321,69,96,2,11059,37,64,17,13,76,642,9,53,0,0,1,88,0,0,0,1,0,0,0,0,110643,15,1,22,2,246,0,2,19,36,1484,138,1179,1,10,5791,43,1,8,1,9,285,2,77,48,8,137140,9468
"G110","1880","District Of Columbia","110",,"District of Columbia",177624,118006,59596,17,5,300,71,145,18,675,346,122,449,540,533,176,69,509,317,855,24562,1693,338,236,97,316,36,6,564,1107,5952,753,1872,21,5587,209,508,400,134,525,29009,451,227,2,5,6,80702,4,8,0,14,9,10,12,2,80702,9,6,75,16,452,3,24,22,45,1704,293,5055,1,71,7840,244,12,116,13,67,495,35,70,196,84,160502,17122
"G120","1880","Florida","120",,"Florida",269493,142605,126690,18,180,12023,148,26,14,500,70,173481,32601,538,339,134,64,668,578,502,604,852,215,757,52,204,16,1,248,369,2375,6297,685,13,855,126,18522,833,190,199,3329,38,305,0,5,2,738,1,5,2,4,1,3,47,5,173481,78,291,46,3,446,5,15,2170,259,889,221,978,8,19,652,77,44,26,41,32,216,91,310,43,2793,259584,9909
"G130","1880","Georgia","130",,"Georgia",1542180,816906,725133,17,124,17009,545,50,21,531,46,5840,1395214,224,242,51,31,1136,516,292,1459,625,78,1516,36,287,6,0,157,469,2570,24156,514,6,1000,252,50195,10717,584,187,14606,29,167,0,6,5,207,1,10,1,9,2,1,0,10,1395214,129,0,71,33,348,2,24,33,53,1196,295,2956,21,36,4148,82,13,62,6,33,395,44,161,107,77,1531616,10564
"G165","1880","Idaho Territory","165",,"Idaho Territory",32610,29013,53,3379,165,63,279,535,86,106,14,4,88,1142,576,879,308,437,50,381,109,251,199,57,127,1393,153,84,67,98,1269,99,1044,999,804,17,29,309,70,153,336,36,368,0,5,38,22,5992,6,82,7,3205,201,59,0,5992,14,1,18,5,584,2,3366,3,586,2235,142,750,9,10,981,35,50,17,10,17,253,3,599,225,5,22636,9974
"G170","1880","Illinois","170",,"Illinois",3077871,3031151,46368,212,140,3319,2470,969,250,9417,1596,164,1947,1709520,91388,16555,4350,61920,2472,7451,12396,20481,12985,3066,2062,39493,1004,82,6582,14636,120199,9279,136884,474,89467,2100,2122,37400,1302,14593,27904,2718,21757,0,17,91,860,20,183,63,82,128,25,37,15,1709520,57,431,2608,13408,34043,8,299,69,6029,60012,8524,235786,202,5012,117343,1764,67,6962,424,1276,15645,243,59385,8881,167,2494295,583576
"G180","1880","Indiana","180",,"Indiana",1978301,1938798,39228,29,246,892,563,267,75,1837,1593,101,1284,27201,1354565,4590,2136,73928,874,1165,7429,3195,9188,682,537,5688,323,19,879,5448,26506,20884,186391,210,51234,377,1627,10969,431,2211,24538,1988,1784,0,8,25,307,26,36,8,26,47,11,17,3,1354565,11,3,511,306,5569,12,41,11,583,12020,4473,80756,16,1368,25741,198,28,917,39,320,2731,24,3303,3695,41,1834123,144178
"G190","1880","Iowa","190",,"Iowa",1624615,1614600,9516,33,466,378,532,746,403,5062,939,80,388,102820,59278,737306,3722,12920,515,5783,6169,9378,10616,591,6130,20677,3005,107,4743,6357,82690,3990,120495,198,77357,907,531,5372,402,12297,15531,2521,40380,1,14,650,259,76,54,72,27,394,44,50,8,737306,17,15,1473,10554,21097,5,37,50,6901,25550,2675,88268,91,4743,44061,122,18,403,22,535,6885,38,39145,4587,79,1362965,261650
