GISJOIN,YEAR,STATE,STATEA,AREANAME,AR0001,AR0002,AR0003,AR0004,AR0005,AR0006,AR0007,AR0008,AR0009,AR0010,AR0011,AR0012,AR0013,AR0014,AR0015,AR0016
"G010","1880","Alabama","010","Alabama",321700,330964,5817,3704,294867,305028,134,74,0,0,4,0,106,106,1,0
"G045","1880","Arizona Territory","045","Arizona Territory",14621,6188,9935,4416,94,50,10,1,1,0,1600,31,1910,1527,31,25
"G050","1880","Arkansas","050","Arkansas",301525,279831,7181,2994,107297,103319,34,16,7,2,124,0,110,84,1,0
"G060","1880","California","060","California",298057,251472,136999,80653,3007,2367,460,184,498,451,70827,3442,8088,7880,240,69
"G080","1880","Colorado","080","Colorado",97860,54118,29181,9967,1415,988,18,14,4,1,589,18,63,88,1,2
"G090","1880","Connecticut","090","Connecticut",235823,245237,64157,65552,5458,5934,92,63,2,4,122,1,126,124,2,3
"G095","1880","Dakota Territory","095","Dakota Territory",49070,32700,32106,19271,214,169,11,7,0,0,220,18,594,635,81,81
"G100","1880","Delaware","100","Delaware",55945,54775,4832,4608,13316,13099,11,16,0,0,1,0,3,2,0,0
"G110","1880","District Of Columbia","110","District of Columbia",48670,52356,8650,8330,26170,33301,68,57,0,0,15,2,5,0,0,0
"G120","1880","Florida","120","Florida",68698,66204,4566,3137,62061,62440,1007,1182,2,1,14,1,94,84,2,0
"G130","1880","Georgia","130","Georgia",397452,409121,6292,4041,359020,365900,137,76,0,0,17,0,63,60,0,1
"G165","1880","Idaho Territory","165","Idaho Territory",13748,8666,4692,1907,28,12,11,2,10,9,3246,114,82,81,1,1
"G170","1880","Illinois","170","Illinois",1243441,1204731,318285,264694,24280,21725,227,136,2,2,206,2,70,44,12,14
"G180","1880","Indiana","180","Indiana",909977,884787,79976,64058,20202,18912,65,49,0,0,29,0,111,134,1,0
"G190","1880","Iowa","190","Iowa",696125,656921,146569,114985,5160,4295,31,30,0,0,33,0,217,247,1,1
"G200","1880","Kansas","200","Kansas",449080,393131,65004,44940,22075,20918,77,37,0,0,18,1,411,395,2,7
"G210","1880","Kentucky","210","Kentucky",666865,650860,31892,27562,133768,137631,30,22,0,0,9,1,25,24,1,0
"G220","1880","Louisiana","220","Louisianna",200775,201402,28199,24578,238295,244431,584,345,30,27,430,2,437,403,4,4
"G230","1880","Maine","230","Maine",293537,294656,29436,29223,679,605,86,81,0,0,8,0,290,286,22,27
"G240","1880","Maryland","240","Maryland",317499,324666,42171,40357,102335,107623,170,102,0,0,5,0,7,7,0,1
"G250","1880","Massachusetts","250","Massachusetts",643050,678794,205927,236011,8441,8968,608,680,2,1,227,7,166,172,19,12
"G260","1880","Michigan","260","Michigan",632369,595758,218426,168007,7021,6321,815,943,0,0,28,0,3542,3418,154,135
