county,region,neighbor1,neighbor2,neighbor3,neighbor4,neighbor5,neighbor6,neighbor7,neighbor8,neighbor9
Alamance,Piedmont,Caswell,Chathan,Guilford,Randolph,,,,,
Alexander,Piedmont,Caldwell,Catawba,Iredell,Wilkes,,,,,
Alleghany,Mountain,Ashe,Surry,Wilkes,,,,,,
Anson,Piedmont,Montgomery,Richmond,Stanly,Union,,,,,
Ashe,Mountain,Alleghany,Watauga,Wilkes,,,,,,
Beaufort,Coastal Plain ,Craven,Hyde,Martin,Pamlico,Pitt,Washington,,,
Bertie,Coastal Plain ,Chowan,Halifax,Hertford,Martin,Northanmpton,Washington,,,
Bladen,Coastal Plain ,Columbus,Cumberland,Pender,Robeson,Sampson,,,,
Brunswick,Coastal Plain ,Columbus,New Hanover,Pender,,,,,,
Buncombe,Mountain,Haywood,Henderson,Madison,McDowell,Rutherford,Yancey,,,
Burke,Mountain,Caldwell,Catawba,Cleveland,McDowell,Rutherford,,,,
Cabarrus,Piedmont,Iredell,Mecklenburg,Rowan,Stanly,Union,,,,
Caldwell,Mountain,Alexander,Burke,Catawba,Watauga,Wilkes,,,,
Camden,Coastal Plain ,Currituck,Gates,Pasquontank,,,,,,
Carteret,Coastal Plain ,Craven,Jones,Onslow,Pamlico,,,,,
Caswell,Piedmont,Alamance,Orange,Person,Rockingham,,,,,
Catawba,Piedmont,Alexander,Burke,Caldwell,Iredell,Lincoln,,,,
Chatham,Piedmont,Alamance,Harnett,Moore,Orange,Randolph,Wake,,,
Cherokee,Mountain,Clay,Graham,Macon,,,,,,
Chowan,Coastal Plain ,Bertie,Gates,Hertford,Perquimans,,,,,
Clay,Mountain,Cherokee,Macon,,,,,,,
Cleveland,Piedmont,Burke,Gaston,Lincoln,Rutherford,,,,,
Columbus,Coastal Plain ,Bladen,Brunswick,Pender,Robeson,,,,,
Craven,Coastal Plain ,Beaufort,Cateret,Jones,Lenoir,Pamlico,Pitt,,,
Cumberland,Coastal Plain ,Bladen,Harnett,Moore,Robeson,Sampson,,,,
Currituck,Coastal Plain ,Camden,Dare,,,,,,,
Dare,Coastal Plain ,Currituck,Hyde,Tyrrell,,,,,,
Davidson,Piedmont,Davie,Forsyth,Guilford,Montgomery,Randolph,Rowan,,,
Davie,Piedmont,Davidson,Forsyth,Iredell,Rowan,Yadkin,,,,
Duplin,Coastal Plain ,Jones,Lenoir,Onslow,Pender,Sampson,Wayne,,,
Edgecombe,Coastal Plain ,Halifax,Martin,Nash,Pitt,Wilson,,,,
Forsyth,Piedmont,Davidson,Davie,Guilford,Stokes,Yadkin,,,,
Franklin,Piedmont,Granville,Nash,Wake,Warren,,,,,
Gaston,Piedmont,Cleveland,Lincoln,Mecklenburg,,,,,,
Gates,Coastal Plain ,Camden,Chowan,Hertford,Pasquontank,Perquimans,,,,
Graham,Mountain,Cherokee,Macon,Swain,,,,,,
Granville,Piedmont,Franklin,Person,Wake,,,,,,
Greene,Coastal Plain ,Lenoir,Pitt,Wayne,Wilson,,,,,
Guilford,Piedmont,Alamance,Davidson,Forsyth,Randolph,Rockingham,,,,
Halifax,Coastal Plain ,Bertie,Edgecombe,Martin,Nash,Northanmpton,Warren,,,
Harnett,Coastal Plain ,Chatham,Cumberland,Johnston,Moore,Sampson,Wake,,,
Haywood,Mountain,Buncombe,Jackson,Madison,Swain,Transylvania,,,,
Henderson,Mountain,Buncombe,Rutherford,Polk,Transylvania,,,,,
Hertford,Coastal Plain ,Bertie,Chowan,Gates,Northampton,,,,,
Hyde,Coastal Plain ,Beaufort,Dare,Tyrrell,Washington,,,,,
Iredell,Piedmont,Alexander,Cabarrus,Catawba,Davie,Lincoln,Mecklenberg,Rowan,Wilkes,Yadkin
Jackson,Mountain,Haywood,Macon,Swain,Transylvania,,,,,
Johnston,Coastal Plain ,Harnett,Nash,Sampson,Wake,Wayne,Wilson,,,
Jones,Coastal Plain ,Carteret,Craven,Duplin,Lenoir,Onlsow,,,,
Lenoir,Coastal Plain ,Craven,Duplin,Greene,Pitt,Jones,Wayne,,,
Lincoln,Piedmont,Catawba,Cleveland,Gaston,Iredell,Mecklenburg,,,,
McDowell,Mountain,Buncombe,Burke,Mitchell,Rutherford,Yancey,,,,
Macon,Mountain,Cherokee,Clay,Graham,Jackson,Swain,,,,
Madison,Mountain,Buncombe,Haywood,Yancey,,,,,,
