GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AOT001,APP001,APP002,APP003,APP004,AP3001,AP3002,AP3003,AP3004,AP3005,AP3006,AP3007,AP3008,AP3009,AP3010,AP3011,AP3012,AP3013,AP3014,AP3015,AP3016,AP3017,AP3018,AP3019,AP3020,AP3021,AP3022,AP3023,AP3024,AP3025,AP3026,AP3027,AP3028,AP3029,AP3030,AP3031,AP3032,AP3033,AP3034,AP3035,AP3036,AP3037,AP3038,AP3039,AP3040,AP3041,AP3042,AP3043,AP3044,AP3045,AP3046,AP3047,AP3048,AP3049,AP3050,AP3051,AP3052,AP3053,AP3054,AP3055,AP3056,AP3057,AP3058,AP3059,AP3060,AP3061,AP3062,AP3063,AP3064,AP3065,AP3066,AP3067,AP3068,AP3069,AP3070,AP3071,AP3072,AP3073,AP3074,AP3075,AP3076,AP4001,AP4002
"G0100010","1880","Alabama","010","Autauga","0010","Autauga",13108,4397,8710,0,1,11845,,,,,,8,360,,,,,9,,,29,,,36,,,,,,,,169,,,,,258,53,,,227,,,,,,,,,,,,,,,11845,5,,,,1,,,,,5,0,8,0,,4,,,,,,1,,1,0,,13083,25
"G0100030","1880","Alabama","010","Baldwin","0030","Baldwin",8603,4890,3675,0,38,6763,,,,,,506,179,,,,,12,,,13,,,154,,,,,,,,291,,,,,125,30,,,140,,,,,,,,,,,,,,,6763,2,,,,10,,,,,25,13,72,0,,33,,,,,,7,,15,6,,8374,229
"G0100050","1880","Alabama","010","Barbour","0050","Barbour",33979,13091,20884,0,4,26051,,,,,,213,4577,,,,,35,,,113,,,77,,,,,,,,750,,,,,1243,52,,,525,,,,,,,,,,,,,,,26051,9,,,,3,,,,,9,7,52,0,,33,,,,,,17,,0,2,,33841,138
"G0100070","1880","Alabama","010","Bibb","0070","Bibb",9487,5887,3600,0,0,8630,,,,,,3,164,,,,,17,,,4,,,45,,,,,,,,150,,,,,153,128,,,118,,,,,,,,,,,,,,,8630,1,,,,1,,,,,3,0,1,2,,14,,,,,,0,,1,2,,9460,27
"G0100090","1880","Alabama","010","Blount","0090","Blount",15369,14210,1159,0,0,11742,,,,,,10,2032,,,,,33,,,5,,,80,,,,,,,,206,,,,,547,372,,,55,,,,,,,,,,,,,,,11742,0,,,,3,,,,,13,0,78,0,,14,,,,,,1,,0,3,,15242,127
"G0100110","1880","Alabama","010","Bullock","0110","Bullock",29066,6944,22119,0,3,23767,,,,,,57,3222,,,,,13,,,76,,,84,,,,,,,,465,,,,,709,68,,,463,,,,,,,,,,,,,,,23767,2,,,,4,,,,,5,2,14,0,,2,,,,,,5,,0,0,,29026,40
"G0100130","1880","Alabama","010","Butler","0130","Butler",19649,10684,8965,0,0,17069,,,,,,135,1081,,,,,21,,,15,,,36,,,,,,,,276,,,,,633,35,,,221,,,,,,,,,,,,,,,17069,2,,,,1,,,,,4,4,27,0,,7,,,,,,0,,0,0,,19592,57
"G0100150","1880","Alabama","010","Calhoun","0150","Calhoun",19591,14134,5457,0,0,14418,,,,,,7,2423,,,,,23,,,9,,,43,,,,,,,,403,,,,,1431,361,,,162,,,,,,,,,,,,,,,14418,1,,,,7,,,,,33,0,20,0,,33,,,,,,3,,0,2,,19469,122
"G0100170","1880","Alabama","010","Chambers","0170","Chambers",23440,11364,12075,0,1,17337,,,,,,12,4731,,,,,10,,,15,,,27,,,,,,,,223,,,,,549,56,,,265,,,,,,,,,,,,,,,17337,0,,,,0,,,,,11,1,11,0,,15,,,,,,4,,0,0,,23395,45
"G0100190","1880","Alabama","010","Cherokee","0190","Cherokee",19108,16418,2690,0,0,10929,,,,,,102,5374,,,,,32,,,4,,,39,,,,,,,,491,,,,,1143,590,,,169,,,,,,,,,,,,,,,10929,0,,,,3,,,,,13,0,12,1,,7,,,,,,8,,3,0,,19059,49
"G0100210","1880","Alabama","010","Chilton","0210","Chilton",10793,8651,2142,0,0,9484,,,,,,17,583,,,,,16,,,3,,,56,,,,,,,,115,,,,,263,76,,,94,,,,,,,,,,,,,,,9484,0,,,,0,,,,,5,1,7,0,,6,,,,,,0,,0,1,,10766,27
"G0100230","1880","Alabama","010","Choctaw","0230","Choctaw",15731,7390,8341,0,0,13356,,,,,,37,289,,,,,13,,,6,,,1002,,,,,,,,365,,,,,346,60,,,170,,,,,,,,,,,,,,,13356,0,,,,2,,,,,4,1,3,0,,8,,,,,,3,,3,1,,15703,28
"G0100250","1880","Alabama","010","Clarke","0250","Clarke",17806,7718,10086,0,2,16511,,,,,,54,233,,,,,7,,,23,,,76,,,,,,,,264,,,,,291,60,,,192,,,,,,,,,,,,,,,16511,5,,,,1,,,,,1,4,12,0,,5,,,,,,1,,1,0,,17772,34
"G0100270","1880","Alabama","010","Clay","0270","Clay",12938,11870,1068,0,0,9811,,,,,,8,2265,,,,,9,,,4,,,18,,,,,,,,222,,,,,436,77,,,42,,,,,,,,,,,,,,,9811,0,,,,0,,,,,0,0,4,0,,4,,,,,,2,,0,0,,12927,11
"G0100290","1880","Alabama","010","Cleburne","0290","Cleburne",10976,10308,668,0,0,7005,,,,,,9,3164,,,,,7,,,1,,,9,,,,,,,,135,,,,,469,97,,,36,,,,,,,,,,,,,,,7005,0,,,,0,,,,,1,0,2,0,,5,,,,,,0,,0,0,,10968,8
"G0100310","1880","Alabama","010","Coffee","0310","Coffee",8119,6831,1288,0,0,6722,,,,,,129,905,,,,,1,,,1,,,11,,,,,,,,106,,,,,188,2,,,18,,,,,,,,,,,,,,,6722,0,,,,0,,,,,1,0,0,0,,1,,,,,,0,,0,0,,8117,2
"G0100330","1880","Alabama","010","Colbert","0330","Colbert",16153,9203,6950,0,0,12748,,,,,,0,414,,,,,88,,,23,,,594,,,,,,,,310,,,,,178,793,,,414,,,,,,,,,,,,,,,12748,1,,,,4,,,,,10,12,85,0,,26,,,,,,3,,1,3,,15995,158
"G0100350","1880","Alabama","010","Conecuh","0350","Conecuh",12605,6224,6380,0,1,11288,,,,,,88,458,,,,,8,,,10,,,57,,,,,,,,126,,,,,245,15,,,217,,,,,,,,,,,,,,,11288,2,,,,2,,,,,5,0,13,0,,15,,,,,,1,,1,0,,12566,39
"G0100370","1880","Alabama","010","Coosa","0370","Coosa",15113,10050,5059,0,4,12800,,,,,,4,1512,,,,,10,,,5,,,18,,,,,,,,161,,,,,391,56,,,99,,,,,,,,,,,,,,,12800,1,,,,0,,,,,2,0,3,0,,6,,,,,,0,,0,0,,15100,13
"G0100390","1880","Alabama","010","Covington","0390","Covington",5639,4968,671,0,0,4650,,,,,,162,509,,,,,1,,,1,,,15,,,,,,,,61,,,,,204,5,,,13,,,,,,,,,,,,,,,4650,0,,,,0,,,,,1,0,0,0,,0,,,,,,1,,0,0,,5637,2
"G0100410","1880","Alabama","010","Crenshaw","0410","Crenshaw",11726,9118,2608,0,0,9919,,,,,,70,1025,,,,,1,,,5,,,27,,,,,,,,172,,,,,418,11,,,47,,,,,,,,,,,,,,,9919,1,,,,0,,,,,1,0,0,0,,5,,,,,,0,,0,0,,11719,7
"G0100430","1880","Alabama","010","Cullman","0430","Cullman",6355,6312,43,0,0,3822,,,,,,2,524,,,,,88,,,5,,,20,,,,,,,,78,,,,,128,120,,,11,,,,,,,,,,,,,,,3822,0,,,,5,,,,,2,35,661,0,,15,,,,,,3,,2,20,,5589,766
"G0100450","1880","Alabama","010","Dale","0450","Dale",12677,10553,2122,0,2,10015,,,,,,172,1728,,,,,1,,,6,,,10,,,,,,,,302,,,,,374,4,,,37,,,,,,,,,,,,,,,10015,0,,,,2,,,,,3,0,0,0,,0,,,,,,1,,0,0,,12671,6
"G0100470","1880","Alabama","010","Dallas","0470","Dallas",48433,8425,40007,0,1,40682,,,,,,54,1327,,,,,100,,,201,,,318,,,,,,,,1088,,,,,1595,283,,,1856,,,,,,,,,,,,,,,40682,12,,,,13,,,,,24,13,171,0,,117,,,,,,8,,4,4,,48029,404
"G0100490","1880","Alabama","010","DeKalb","0490","Dekalb",12675,11993,682,0,0,8369,,,,,,6,2243,,,,,60,,,3,,,33,,,,,,,,305,,,,,549,774,,,81,,,,,,,,,,,,,,,8369,0,,,,0,,,,,8,1,4,0,,6,,,,,,1,,0,1,,12653,22
"G0100510","1880","Alabama","010","Elmore","0510","Elmore",17502,8747,8755,0,0,14350,,,,,,20,1667,,,,,18,,,27,,,73,,,,,,,,248,,,,,545,53,,,330,,,,,,,,,,,,,,,14350,3,,,,4,,,,,5,1,10,0,,9,,,,,,3,,0,1,,17463,39
"G0100530","1880","Alabama","010","Escambia","0530","Escambia",5719,4106,1590,0,23,4841,,,,,,274,188,,,,,7,,,2,,,31,,,,,,,,85,,,,,97,35,,,67,,,,,,,,,,,,,,,4841,0,,,,1,,,,,1,2,23,0,,6,,,,,,2,,1,0,,5672,47
"G0100550","1880","Alabama","010","Etowah","0550","Etowah",15398,12896,2502,0,0,10623,,,,,,9,2599,,,,,23,,,4,,,54,,,,,,,,315,,,,,858,541,,,134,,,,,,,,,,,,,,,10623,0,,,,5,,,,,15,0,13,0,,25,,,,,,1,,0,0,,15333,65
"G0100570","1880","Alabama","010","Fayette","0570","Fayette",10135,8873,1262,0,0,8672,,,,,,0,588,,,,,10,,,3,,,139,,,,,,,,158,,,,,358,151,,,13,,,,,,,,,,,,,,,8672,0,,,,0,,,,,4,0,2,0,,3,,,,,,1,,0,0,,10124,11
"G0100590","1880","Alabama","010","Franklin","0590","Franklin",9155,8079,1076,0,0,7673,,,,,,0,352,,,,,24,,,2,,,322,,,,,,,,138,,,,,186,310,,,61,,,,,,,,,,,,,,,7673,0,,,,0,,,,,0,1,9,0,,2,,,,,,1,,0,0,,9141,14
"G0100610","1880","Alabama","010","Geneva","0610","Geneva",4342,3829,513,0,0,3288,,,,,,329,480,,,,,1,,,1,,,5,,,,,,,,92,,,,,94,6,,,13,,,,,,,,,,,,,,,3288,1,,,,0,,,,,0,1,0,0,,0,,,,,,1,,0,0,,4338,4
"G0100630","1880","Alabama","010","Greene","0630","Greene",21931,3765,18165,0,1,19456,,,,,,30,170,,,,,29,,,20,,,221,,,,,,,,563,,,,,539,78,,,691,,,,,,,,,,,,,,,19456,1,,,,0,,,,,3,1,15,0,,19,,,,,,2,,0,0,,21886,45
"G0100650","1880","Alabama","010","Hale","0650","Hale",26553,4903,21650,0,0,22539,,,,,,13,460,,,,,33,,,46,,,181,,,,,,,,1062,,,,,447,117,,,1331,,,,,,,,,,,,,,,22539,3,,,,2,,,,,7,1,18,1,,18,,,,,,1,,1,1,,26493,60
"G0100670","1880","Alabama","010","Henry","0670","Henry",18761,11994,6767,0,0,14281,,,,,,482,2958,,,,,8,,,10,,,20,,,,,,,,340,,,,,447,23,,,149,,,,,,,,,,,,,,,14281,0,,,,0,,,,,1,0,4,0,,3,,,,,,1,,0,0,,18750,11
"G0100710","1880","Alabama","010","Jackson","0710","Jackson",25114,21074,4033,0,7,18804,,,,,,7,1323,,,,,150,,,17,,,82,,,,,,,,451,,,,,326,3326,,,256,,,,,,,,,,,,,,,18804,1,,,,4,,,,,19,0,6,0,,13,,,,,,0,,1,2,,25065,49
