GISJOIN,YEAR,STATE,STATEA,AREANAME,AQA001,AQA002,AQA003,AQA004,AQA005,AQA006,AQA007,AQA008,AQA009,AQA010,AQA011,AQA012,AQA013,AQA014,AQA015,AQA016,AQA017,AQA018,AQA019,AQA020,AQA021,AQA022,AQA023,AQA024,AQA025,AQA026,AQA027,AQA028,AQA029,AQA030,AQA031,AQA032,AQA033,AQA034,AQA035,AQA036,AQA037,AQA038,AQA039,AQA040,AQA041,AQA042,AQA043,AQA044,AQA045,AQA046,AQA047,AQA048,AQA049,AQA050,AQA051,AQA052,AQA053,AQA054,AQA055,AQA056,AQA057,AQA058,AQA059,AQA060,AQA061,AQA062,AQA063,AQA064,AQA065,AQA066,AQA067,AQA068,AQA069,AQA070,AQA071,AQA072,AQA073,AQA074,AQA075,AQA076,AQA077,AQA078,AQA079,AQA080,AQA081,AQA082,AQA083,AQA084,AQA085,AQA086,AQA087,AQA088,AQA089,AQA090,AQA091,AQA092,AQA093,AQA094,AQA095,AQA096,AQA097,AQA098,AQA099,AQA100,AQL001,AQL002,AQL003,AQL004,AQL005,AQL006,AQL007,AQL008,AQL009,AQL010,AQL011,AQL012,AQL013,AQL014,AQL015,AQL016,AQL017,AQL018,AQL019,AQL020,AQL021,AQL022,AQL023,AQL024,AQL025,AQL026,AQL027,AQL028,AQL029,AQL030,AQL031,AQL032,AQL033,AQL034,AQL035,AQL036,AQL037,AQL038,AQL039,AQL040
"G010","1880","Alabama","010","Alabama",506917,717,21,17,258,30,3186,66564,672,773,92,26,1775,1225,157,392,339,179,42,7959,400,24,0,94,223,1475,10897,1433,1,1154,63,21237,18968,1019,106,4012,17,116,1,4,5,54,2,9,0,5,0,1,2,1,507716,146,0,0,8,12,1023,29218,14,12,0,5,849,560,14,1497,29,7,1,5087,172,2,0,3,4,193,12372,44,0,45,4,14527,4891,235,22,20267,55,872,0,0,0,193,0,4,1,0,0,3,0,0,149,3,5,7,121,10,39,271,1,11,55,69,57,442,3238,0,4407,8,1,27,60,7,114,1,9,3,26,24,2,47,13,44,3,27,89,119,173,1,39,12
"G045","1880","Arizona Territory","045","Arizona Territory",127,316,2147,65,130,18,22,169,676,373,320,160,441,118,440,211,563,231,32,97,907,18,110,134,153,1730,88,954,176,810,63,49,302,519,232,334,18,185,1,4719,3,57,80,8,8,1135,1322,24,12,2,3,6,15,0,0,1,0,0,6,0,0,0,5,5,1,6,1,0,0,3,7,0,2,0,3,5,2,0,2,2,1,6,6,3,0,15,0,0,0,3447,0,4,0,0,0,9,16,0,0,0,3,3,2,31,53,14,7,571,1,1626,2,131,2,276,1110,0,2312,4,0,14,14,8,104,3,0,1,9330,45,0,43,15,25,3,26,18,106,117,6,12,11
"G050","1880","Arkansas","050","Arkansas",27908,312739,162,62,142,59,202,25316,12040,8451,1515,1629,14724,5014,326,560,322,871,134,23161,27706,106,10,99,264,2260,13830,5068,16,2566,55,9381,69607,8158,184,5458,115,481,0,3,14,87,5,498,7,8,19,8,5,1,11105,123938,6,4,1,5,243,11399,198,77,12,46,3315,4635,13,769,52,16,10,12087,1802,1,0,0,6,30,5897,186,0,107,20,5726,17986,2702,5,7834,11,197,0,0,1,68,0,293,1,1,12,1,1,0,17,4,1,8,106,22,68,787,2,121,13,98,84,369,3620,1,3937,3,0,66,58,5,132,0,12,0,20,33,2,191,2,77,3,10,6,211,240,0,8,13
"G060","1880","California","060","California",1321,2435,306553,324,3879,451,147,1157,17207,8135,9154,1980,7712,2317,14485,2897,19056,5432,1542,1367,20458,723,2572,3468,3728,43548,1657,17712,3314,15213,1797,899,5489,1959,4678,5473,327,5480,32,261,55,580,210,78,166,292,1124,537,109,39,60,43,19447,6,25,22,16,77,47,29,6,13,139,95,12,255,89,19,4,73,291,2,31,1,32,201,92,47,44,161,15,70,120,22,3,433,10,8,1,108,1,88,1,16,0,5,7,1,2,1,86,16,3356,2055,1948,1092,239,18889,188,73548,182,3748,109,9550,42532,10,96059,170,3,694,216,155,7537,133,97,17,8648,1765,173,1026,4705,1013,295,1797,572,4209,5308,36,528,170
"G080","1880","Colorado","080","Colorado",416,692,545,25764,1224,231,60,834,12952,5202,7497,3877,3553,395,2614,1005,3621,3646,810,474,11915,930,102,737,1475,15557,803,11685,80,11352,368,181,1848,1011,1568,2285,401,3902,2,10,93,153,23,89,53,9451,238,21,228,5,36,68,10,599,2,1,6,84,41,29,23,134,233,21,5,42,17,8,6,53,520,2,0,0,4,36,43,74,1,35,0,22,113,32,0,156,16,8,0,3,0,6,1,10,0,50,3,0,6,0,13,7,5,64,453,49,91,5785,1,601,12,507,17,825,7012,0,19947,5,1,115,49,26,335,1,9,2,186,354,0,154,12,278,6,42,35,2172,551,3,30,35
"G090","1880","Connecticut","090","Connecticut",100,9,212,8,391087,121,82,263,806,216,222,76,120,140,2416,475,22256,421,140,35,159,20,2,2042,3875,38070,173,1261,13,3035,8207,224,73,62,3450,595,23,359,0,4,6,139,2,4,1,8,36,5,1,6,31,1,4,0,7124,69,22,96,7,11,2,0,35,48,15,359,387,5,0,17,5,0,0,5,192,1102,371,11,1,188,118,75,14,3,26,1127,12,6,0,0,1,149,0,0,1,2,0,0,0,6,14,1,79,35,287,76,124,16444,11,134,35,428,12,1079,15627,2,90683,1,0,122,76,24,879,9,28,1,10,168,18,225,165,65,32,47,47,2086,680,4,161,73
"G095","1880","Dakota Territory","095","Dakota Territory",48,57,101,197,526,61,10,62,4523,1667,7810,239,487,89,1492,318,1290,2507,8601,89,1451,625,24,559,401,9128,99,3798,49,4294,159,59,205,105,1315,546,67,11683,0,5,16619,67,25,17,77,32,104,6,73,4,5,3,0,4,1,0,1,8,5,2,13,2,32,1,2,9,2,2,165,4,69,8,0,0,1,7,2,8,0,11,0,3,11,3,0,29,2,2,0,0,1177,5,0,2,7,3,0,0,1,0,4,4,53,28,131,41,1337,10678,2,237,40,1447,6,272,5925,0,7560,1,2,140,64,7,71,1,107,4,17,13245,0,219,4,6493,4,7,26,3177,386,6,14,35
"G100","1880","Delaware","100","Delaware",7,4,20,1,210,87957,14,24,78,51,20,6,33,17,107,6986,256,31,15,6,73,2,9,68,2149,1293,54,95,2,10505,35,44,15,10,75,345,9,22,0,0,1,70,0,0,0,1,0,0,0,0,0,1,2,0,7,22686,1,13,1,4,0,0,12,3,24,2576,8,7,0,1,10,0,0,3,89,28,15,1,0,554,2,20,2,3,1,297,0,31,0,0,0,18,0,0,0,0,0,0,0,0,15,5,1,11,22,1,2,246,0,2,19,36,0,138,1179,0,7561,0,0,10,1,4,43,0,0,0,1,6,0,8,1,9,5,3,2,71,48,2,8,8
"G110","1880","District Of Columbia","110","District of Columbia",186,62,137,16,643,310,85,294,520,522,175,68,405,228,845,12317,1605,325,96,162,283,36,5,559,1048,5740,294,1745,19,5288,184,293,315,114,518,9096,267,226,2,5,5,55927,4,6,0,13,9,10,12,2,114,9,8,2,32,36,37,155,20,11,1,1,104,89,10,12245,88,13,1,74,33,0,1,5,59,212,459,127,2,299,25,215,85,20,7,19913,184,1,0,0,1,24775,0,2,0,1,0,0,0,0,9,1,6,7,75,22,16,452,3,24,22,45,5,293,5055,1,10040,5,0,71,35,7,244,10,0,0,12,19,2,116,13,67,20,34,35,51,196,9,84,16
"G120","1880","Florida","120","Florida",7970,120,24,13,494,63,84678,20241,532,331,134,61,566,409,496,281,829,212,51,506,192,16,1,243,359,2249,2792,655,3,781,117,6834,618,157,195,840,18,252,0,5,2,517,1,5,2,3,1,3,30,0,4053,28,2,1,6,7,88803,12360,6,8,0,3,102,169,6,323,23,3,1,251,12,0,0,5,10,126,3505,30,10,74,9,11688,215,33,4,2489,20,53,0,0,0,221,0,0,0,1,0,0,17,5,78,6,291,45,46,13,3,446,5,15,2170,259,22,221,978,0,1765,7,0,19,8,3,77,0,6,1,44,79,0,26,41,32,1,32,91,231,43,0,2793,12
